country_iso3,date,event_cnt,tone_mean,polarity_mean,hub_events,tone_norm,polarity_norm,event_cnt_norm,hub_events_norm,simple_score,simple_score_norm,event_cnt_z
HKG,2016-03-29,191,,4556.153846153846,191,0,0.10283378879054407,0.12898845892735913,0.12907608695652173,0.077410600962248,0.1290176682704133,2.380811231627901
HKG,2016-03-30,38,,4191.25,38,0,0.09459779713808514,0.025118805159538356,0.025135869565217392,0.015074695976858822,0.0251244932947647,0.22644584778199278
HKG,2016-03-31,366,,4939.0,366,0,0.11147474382702117,0.24779361846571624,0.24796195652173914,0.14870983869063434,0.24784973115105718,4.844954644523547
HKG,2016-04-01,154,,3022.222222222222,154,0,0.0682124818810595,0.10386965376782077,0.10394021739130435,0.062335904985389184,0.10389317497564862,1.8598209100442498
HKG,2016-04-02,16,,,16,0,0.0,0.010183299389002037,0.010190217391304348,0.006111363233861685,0.010185605389769474,-0.08333218126774562
HKG,2016-04-03,70,,2235.714285714286,70,0,0.05046075668564722,0.04684317718940937,0.046875,0.02811227087576375,0.04685378479293958,0.6770320718543396
HKG,2016-04-04,351,,2055.25,351,0,0.046387622443912785,0.23761031907671418,0.23777173913043478,0.14259847545677262,0.23766412576128768,4.633742351989635
HKG,2016-04-05,223,,2602.0,223,0,0.05872793752539159,0.15071283095723015,0.15081521739130435,0.09044817586115293,0.1507469597685882,2.8313974557002477
HKG,2016-04-06,192,,1214.6666666666667,192,0,0.02741539896778465,0.1296673455532926,0.1297554347826087,0.07781802517783878,0.1296967086297313,2.3948920511301615
HKG,2016-04-07,134,,1621.3333333333333,134,0,0.03659399027972133,0.09029192124915139,0.09035326086956522,0.0541874206735736,0.09031236778928932,1.578204519999033
HKG,2016-04-08,165,,618.625,165,0,0.013962555861508599,0.11133740665308893,0.11141304347826086,0.06681757135688775,0.11136261892814622,2.014709924569119
HKG,2016-04-09,34,,1272.0,34,0,0.02870942987405769,0.02240325865580448,0.022418478260869564,0.013444999114495705,0.02240833185749284,0.17012256977294943
HKG,2016-04-10,26,,357.0,26,0,0.008057599422200154,0.01697216564833673,0.016983695652173912,0.010185605389769474,0.016976008982949122,0.05747601375486274
HKG,2016-04-11,68,,1978.4,68,0,0.044653094389021805,0.04548540393754243,0.04551630434782609,0.027297422444582192,0.045495704074303644,0.6488704328498179
HKG,2016-04-12,21,,2260.75,21,0,0.051025820430641446,0.013577732518669382,0.01358695652173913,0.00814848431181558,0.013580807186359298,-0.01292808375644144
HKG,2016-04-13,19,,1613.0,19,0,0.036405904392181644,0.012219959266802444,0.012228260869565218,0.007333635880634022,0.012222726467723368,-0.041089722760963114
HKG,2016-04-14,28,,,28,0,0.0,0.018329938900203666,0.018342391304347828,0.011000453820951033,0.018334089701585052,0.08563765275938441
HKG,2016-04-15,28,,286.0,28,0,0.006455107660362028,0.018329938900203666,0.018342391304347828,0.011000453820951033,0.018334089701585052,0.08563765275938441
HKG,2016-04-16,11,,1116.0,11,0,0.025188462059314767,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-04-17,3,,2129.0,3,0,0.04805218254863901,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-04-18,11,,,11,0,0.0,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-04-19,17,,4942.0,17,0,0.11154245474653546,0.010862186014935505,0.010869565217391304,0.006518787449452463,0.010864645749087437,-0.06925136176548478
HKG,2016-04-20,64,,1635.0,64,0,0.03690245113528642,0.04276985743380855,0.042798913043478264,0.025667725582219074,0.042779542637031785,0.5925471548407746
HKG,2016-04-21,5,,,5,0,0.0,0.0027155465037338763,0.002717391304347826,0.0016296968623631157,0.0027161614372718593,-0.23822119579261483
HKG,2016-04-22,15,,,15,0,0.0,0.009504412763068567,0.009510869565217392,0.0057039390182709055,0.009506565030451507,-0.09741300077000646
HKG,2016-04-23,8,,,8,0,0.0,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-04-24,2,,,2,0,0.0,0.0006788866259334691,0.0006793478260869565,0.00040742421559077893,0.0006790403593179648,-0.28046365429939735
HKG,2016-04-25,14,,,14,0,0.0,0.008825526137135099,0.008831521739130434,0.005296514802680127,0.008827524671133543,-0.1114938202722673
HKG,2016-04-26,15,,861.5,15,0,0.01944431905385275,0.009504412763068567,0.009510869565217392,0.0057039390182709055,0.009506565030451507,-0.09741300077000646
HKG,2016-04-27,4,,,4,0,0.0,0.002036659877800407,0.0020380434782608695,0.0012222726467723368,0.0020371210779538945,-0.25230201529487567
HKG,2016-04-28,5,,,5,0,0.0,0.0027155465037338763,0.002717391304347826,0.0016296968623631157,0.0027161614372718593,-0.23822119579261483
HKG,2016-04-29,8,,1447.0,8,0,0.0326592335123911,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-04-30,1,,,1,0,0.0,0.0,0.0,0.0,0.0,-0.29454447380165816
HKG,2016-05-01,1,,,1,0,0.0,0.0,0.0,0.0,0.0,-0.29454447380165816
HKG,2016-05-02,12,,1774.0,12,0,0.040039723739448384,0.00746775288526816,0.007472826086956522,0.0044816663714985685,0.007469443952497613,-0.13965545927678896
HKG,2016-05-03,14,,1644.0,14,0,0.03710558389382928,0.008825526137135099,0.008831521739130434,0.005296514802680127,0.008827524671133543,-0.1114938202722673
